"Species","CLIMATE","REALM","TAXA","StudyMethod","ABUNDANCE_TYPE","BIOMASS_TYPE","ObsEventID","rarefyID","STUDY_ID","YEAR","PLOT","cell","Abundance","Biomass"
"ITIS:203446","Temperate","Marine","All","ML","Count","","172_694549__2005","172_694549",172,2005,"",694549,5,0
"ITIS:203446","Temperate","Marine","All","ML","Count","","172_679935__2004","172_679935",172,2004,"",679935,38,0
"ITIS:203446","Temperate","Marine","All","ML","Count","","172_679935__2004","172_679935",172,2004,"",679935,5,0
"ITIS:203446","Temperate","Marine","All","ML","Count","","172_679207__2004","172_679207",172,2004,"",679207,38,0
"ITIS:203446","Temperate","Marine","All","ML","Count","","172_693810__2003","172_693810",172,2003,"",693810,5,0
"ITIS:203446","Temperate","Marine","All","ML","Count","","172_693083__2003","172_693083",172,2003,"",693083,5,0
"ITIS:203446","Temperate","Marine","All","ML","Count","","172_691634__2005","172_691634",172,2005,"",691634,5,0
"ITIS:203446","Temperate","Marine","All","ML","Count","","172_713525__2009","172_713525",172,2009,"",713525,5,0
"ITIS:203446","Temperate","Marine","All","ML","Count","","172_713525__2009","172_713525",172,2009,"",713525,18,0
"ITIS:203446","Temperate","Marine","All","ML","Count","","172_696002__2001","172_696002",172,2001,"",696002,5,0
"ITIS:203446","Temperate","Marine","All","ML","Count","","172_695271__2001","172_695271",172,2001,"",695271,5,0
"ITIS:203446","Temperate","Marine","All","ML","Count","","172_693093__2003","172_693093",172,2003,"",693093,5,0
"ITIS:203446","Temperate","Marine","All","ML","Count","","172_688711__2003","172_688711",172,2003,"",688711,5,0
"ITIS:203446","Temperate","Marine","All","ML","Count","","172_695275__2004","172_695275",172,2004,"",695275,18,0
"ITIS:203446","Temperate","Marine","All","ML","Count","","172_696011__2005","172_696011",172,2005,"",696011,38,0
"ITIS:203446","Temperate","Marine","All","ML","Count","","172_695276__2004","172_695276",172,2004,"",695276,18,0
"ITIS:203446","Temperate","Marine","All","ML","Count","","172_696010__2004","172_696010",172,2004,"",696010,5,0
"ITIS:203446","Temperate","Marine","All","ML","Count","","172_693082__2004","172_693082",172,2004,"",693082,5,0
"ITIS:203446","Temperate","Marine","All","ML","Count","","172_695280__2004","172_695280",172,2004,"",695280,18,0
"ITIS:203446","Temperate","Marine","All","ML","Count","","172_694550__2004","172_694550",172,2004,"",694550,18,0
"ITIS:203446","Temperate","Marine","All","ML","Count","","172_691626__2008","172_691626",172,2008,"",691626,5,0
"ITIS:203446","Temperate","Marine","All","ML","Count","","172_695276__2001","172_695276",172,2001,"",695276,5,0
"ITIS:203446","Temperate","Marine","All","ML","Count","","172_698178__2002","172_698178",172,2002,"",698178,18,0
"ITIS:203446","Temperate","Marine","All","ML","Count","","172_698178__2002","172_698178",172,2002,"",698178,5,0
"ITIS:203446","Temperate","Marine","All","ML","Count","","172_698178__2002","172_698178",172,2002,"",698178,5,0
"ITIS:203446","Temperate","Marine","All","ML","Count","","172_697450__2002","172_697450",172,2002,"",697450,5,0
"ITIS:203446","Temperate","Marine","All","ML","Count","","172_695276__2000","172_695276",172,2000,"",695276,38,0
"ITIS:203446","Temperate","Marine","All","ML","Count","","172_693815__2000","172_693815",172,2000,"",693815,5,0
"ITIS:203446","Temperate","Marine","All","ML","Count","","172_693813__2000","172_693813",172,2000,"",693813,18,0
"ITIS:203446","Temperate","Marine","All","ML","Count","","172_693814__2000","172_693814",172,2000,"",693814,18,0
"ITIS:203446","Temperate","Marine","All","ML","Count","","172_696011__2004","172_696011",172,2004,"",696011,18,0
"ITIS:203446","Temperate","Marine","All","ML","Count","","172_693814__2005","172_693814",172,2005,"",693814,18,0
"ITIS:203446","Temperate","Marine","All","ML","Count","","172_714256__2009","172_714256",172,2009,"",714256,5,0
"ITIS:203446","Temperate","Marine","All","ML","Count","","172_713526__2009","172_713526",172,2009,"",713526,18,0
"ITIS:203446","Temperate","Marine","All","ML","Count","","172_713525__2009","172_713525",172,2009,"",713525,5,0
"ITIS:203446","Temperate","Marine","All","ML","Count","","172_713526__2009","172_713526",172,2009,"",713526,38,0
"ITIS:203446","Temperate","Marine","All","ML","Count","","172_712797__2009","172_712797",172,2009,"",712797,5,0
"ITIS:203446","Temperate","Marine","All","ML","Count","","172_712797__2009","172_712797",172,2009,"",712797,5,0
"ITIS:203446","Temperate","Marine","All","ML","Count","","172_695280__2008","172_695280",172,2008,"",695280,5,0
"ITIS:203446","Temperate","Marine","All","ML","Count","","172_695280__2008","172_695280",172,2008,"",695280,18,0
"ITIS:203446","Temperate","Marine","All","ML","Count","","172_714256__2009","172_714256",172,2009,"",714256,5,0
"ITIS:203446","Temperate","Marine","All","ML","Count","","172_705500__2000","172_705500",172,2000,"",705500,5,0
"ITIS:203446","Temperate","Marine","All","ML","Count","","172_704770__2000","172_704770",172,2000,"",704770,5,0
"ITIS:203446","Temperate","Marine","All","ML","Count","","172_704770__2000","172_704770",172,2000,"",704770,5,0
"ITIS:203446","Temperate","Marine","All","ML","Count","","172_705500__2000","172_705500",172,2000,"",705500,18,0
"ITIS:203446","Temperate","Marine","All","ML","Count","","172_712798__2008","172_712798",172,2008,"",712798,18,0
"ITIS:203446","Temperate","Marine","All","ML","Count","","172_712799__2008","172_712799",172,2008,"",712799,38,0
"ITIS:203446","Temperate","Marine","All","ML","Count","","172_693087__2000","172_693087",172,2000,"",693087,5,0
"ITIS:203446","Temperate","Marine","All","ML","Count","","172_691622__2001","172_691622",172,2001,"",691622,5,0
"ITIS:203446","Temperate","Marine","All","ML","Count","","172_691622__2001","172_691622",172,2001,"",691622,18,0
"ITIS:203446","Temperate","Marine","All","ML","Count","","172_692353__2001","172_692353",172,2001,"",692353,5,0
"ITIS:203446","Temperate","Marine","All","ML","Count","","172_692353__2006","172_692353",172,2006,"",692353,5,0
"ITIS:203446","Temperate","Marine","All","ML","Count","","172_693817__2003","172_693817",172,2003,"",693817,18,0
"ITIS:203446","Temperate","Marine","All","ML","Count","","172_693086__2003","172_693086",172,2003,"",693086,75,0
"ITIS:203446","Temperate","Marine","All","ML","Count","","172_695276__2004","172_695276",172,2004,"",695276,5,0
"ITIS:203446","Temperate","Marine","All","ML","Count","","172_696002__2004","172_696002",172,2004,"",696002,38,0
"ITIS:203446","Temperate","Marine","All","ML","Count","","172_714256__2009","172_714256",172,2009,"",714256,5,0
"ITIS:203446","Temperate","Marine","All","ML","Count","","172_714258__2009","172_714258",172,2009,"",714258,5,0
"ITIS:203446","Temperate","Marine","All","ML","Count","","172_714258__2009","172_714258",172,2009,"",714258,38,0
"ITIS:203446","Temperate","Marine","All","ML","Count","","172_714258__2009","172_714258",172,2009,"",714258,18,0
"ITIS:203446","Temperate","Marine","All","ML","Count","","172_712798__2009","172_712798",172,2009,"",712798,5,0
"ITIS:203446","Temperate","Marine","All","ML","Count","","172_706231__2000","172_706231",172,2000,"",706231,5,0
"ITIS:203446","Temperate","Marine","All","ML","Count","","172_706963__2000","172_706963",172,2000,"",706963,38,0
"ITIS:203446","Temperate","Marine","All","ML","Count","","172_696010__2000","172_696010",172,2000,"",696010,375,0
"ITIS:203446","Temperate","Marine","All","ML","Count","","172_694546__2000","172_694546",172,2000,"",694546,18,0
"ITIS:203446","Temperate","Marine","All","ML","Count","","172_694545__2000","172_694545",172,2000,"",694545,5,0
"ITIS:203446","Temperate","Marine","All","ML","Count","","172_693085__2000","172_693085",172,2000,"",693085,5,0
"ITIS:203446","Temperate","Marine","All","ML","Count","","172_691627__2000","172_691627",172,2000,"",691627,5,0
"ITIS:203446","Temperate","Marine","All","ML","Count","","172_691627__2000","172_691627",172,2000,"",691627,18,0
"ITIS:203446","Temperate","Marine","All","ML","Count","","172_693083__2001","172_693083",172,2001,"",693083,5,0
"ITIS:203446","Temperate","Marine","All","ML","Count","","172_695281__2001","172_695281",172,2001,"",695281,5,0
"ITIS:203446","Temperate","Marine","All","ML","Count","","172_692356__2002","172_692356",172,2002,"",692356,5,0
"ITIS:203446","Temperate","Marine","All","ML","Count","","172_692356__2001","172_692356",172,2001,"",692356,18,0
"ITIS:203446","Temperate","Marine","All","ML","Count","","172_691623__2001","172_691623",172,2001,"",691623,5,0
"ITIS:203446","Temperate","Marine","All","ML","Count","","172_693079__2002","172_693079",172,2002,"",693079,38,0
"ITIS:203446","Temperate","Marine","All","ML","Count","","172_692350__2002","172_692350",172,2002,"",692350,18,0
"ITIS:203446","Temperate","Marine","All","ML","Count","","172_692350__2002","172_692350",172,2002,"",692350,75,0
"ITIS:203446","Temperate","Marine","All","ML","Count","","172_692350__2002","172_692350",172,2002,"",692350,18,0
"ITIS:203446","Temperate","Marine","All","ML","Count","","172_692350__2002","172_692350",172,2002,"",692350,38,0
"ITIS:203446","Temperate","Marine","All","ML","Count","","172_692355__2000","172_692355",172,2000,"",692355,175,0
"ITIS:203446","Temperate","Marine","All","ML","Count","","172_692356__2000","172_692356",172,2000,"",692356,175,0
"ITIS:203446","Temperate","Marine","All","ML","Count","","172_695992__2001","172_695992",172,2001,"",695992,5,0
"ITIS:203446","Temperate","Marine","All","ML","Count","","172_692353__2001","172_692353",172,2001,"",692353,5,0
"ITIS:203446","Temperate","Marine","All","ML","Count","","172_691626__2001","172_691626",172,2001,"",691626,18,0
"ITIS:203446","Temperate","Marine","All","ML","Count","","172_695274__2002","172_695274",172,2002,"",695274,5,0
"ITIS:203446","Temperate","Marine","All","ML","Count","","172_694547__2002","172_694547",172,2002,"",694547,5,0
"ITIS:203446","Temperate","Marine","All","ML","Count","","172_692352__2002","172_692352",172,2002,"",692352,75,0
"ITIS:203446","Temperate","Marine","All","ML","Count","","172_692352__2002","172_692352",172,2002,"",692352,5,0
"ITIS:203446","Temperate","Marine","All","ML","Count","","172_692352__2002","172_692352",172,2002,"",692352,5,0
"ITIS:203446","Temperate","Marine","All","ML","Count","","172_692352__2002","172_692352",172,2002,"",692352,375,0
"ITIS:203446","Temperate","Marine","All","ML","Count","","172_692353__2002","172_692353",172,2002,"",692353,18,0
"ITIS:203446","Temperate","Marine","All","ML","Count","","172_692356__2002","172_692356",172,2002,"",692356,5,0
"ITIS:203446","Temperate","Marine","All","ML","Count","","172_692356__2002","172_692356",172,2002,"",692356,75,0
"ITIS:203446","Temperate","Marine","All","ML","Count","","172_693817__2003","172_693817",172,2003,"",693817,5,0
"ITIS:203446","Temperate","Marine","All","ML","Count","","172_714256__2009","172_714256",172,2009,"",714256,38,0
"ITIS:203446","Temperate","Marine","All","ML","Count","","172_688712__2002","172_688712",172,2002,"",688712,18,0
"ITIS:203446","Temperate","Marine","All","ML","Count","","172_704041__2003","172_704041",172,2003,"",704041,5,0
"ITIS:203446","Temperate","Marine","All","ML","Count","","172_697453__2000","172_697453",172,2000,"",697453,18,0
"ITIS:203446","Temperate","Marine","All","ML","Count","","172_694545__2000","172_694545",172,2000,"",694545,18,0
"ITIS:203446","Temperate","Marine","All","ML","Count","","172_693817__2000","172_693817",172,2000,"",693817,38,0
"ITIS:203446","Temperate","Marine","All","ML","Count","","172_693817__2000","172_693817",172,2000,"",693817,175,0
"ITIS:203446","Temperate","Marine","All","ML","Count","","172_693817__2000","172_693817",172,2000,"",693817,175,0
"ITIS:203446","Temperate","Marine","All","ML","Count","","172_693817__2000","172_693817",172,2000,"",693817,175,0
"ITIS:203446","Temperate","Marine","All","ML","Count","","172_693087__2000","172_693087",172,2000,"",693087,5,0
"ITIS:203446","Temperate","Marine","All","ML","Count","","172_693087__2000","172_693087",172,2000,"",693087,5,0
"ITIS:203446","Temperate","Marine","All","ML","Count","","172_694547__2004","172_694547",172,2004,"",694547,5,0
"ITIS:203446","Temperate","Marine","All","ML","Count","","172_694550__2004","172_694550",172,2004,"",694550,5,0
"ITIS:203446","Temperate","Marine","All","ML","Count","","172_695274__2002","172_695274",172,2002,"",695274,75,0
"ITIS:203446","Temperate","Marine","All","ML","Count","","172_694545__2002","172_694545",172,2002,"",694545,38,0
"ITIS:203446","Temperate","Marine","All","ML","Count","","172_695276__2007","172_695276",172,2007,"",695276,38,0
"ITIS:203446","Temperate","Marine","All","ML","Count","","172_693817__2001","172_693817",172,2001,"",693817,5,0
"ITIS:203446","Temperate","Marine","All","ML","Count","","172_692353__2001","172_692353",172,2001,"",692353,38,0
"ITIS:203446","Temperate","Marine","All","ML","Count","","172_692353__2001","172_692353",172,2001,"",692353,18,0
"ITIS:203446","Temperate","Marine","All","ML","Count","","172_692356__2001","172_692356",172,2001,"",692356,75,0
"ITIS:203446","Temperate","Marine","All","ML","Count","","172_692356__2001","172_692356",172,2001,"",692356,5,0
"ITIS:203446","Temperate","Marine","All","ML","Count","","172_691626__2001","172_691626",172,2001,"",691626,18,0
"ITIS:203446","Temperate","Marine","All","ML","Count","","172_694543__2002","172_694543",172,2002,"",694543,18,0
"ITIS:203446","Temperate","Marine","All","ML","Count","","172_694545__2002","172_694545",172,2002,"",694545,75,0
"ITIS:203446","Temperate","Marine","All","ML","Count","","172_693815__2002","172_693815",172,2002,"",693815,75,0
"ITIS:203446","Temperate","Marine","All","ML","Count","","172_690900__2003","172_690900",172,2003,"",690900,75,0
"ITIS:203446","Temperate","Marine","All","ML","Count","","172_696002__2004","172_696002",172,2004,"",696002,18,0
"ITIS:203446","Temperate","Marine","All","ML","Count","","172_696004__2004","172_696004",172,2004,"",696004,5,0
"ITIS:203446","Temperate","Marine","All","ML","Count","","172_695272__2004","172_695272",172,2004,"",695272,18,0
"ITIS:203446","Temperate","Marine","All","ML","Count","","172_693821__2004","172_693821",172,2004,"",693821,18,0
"ITIS:203446","Temperate","Marine","All","ML","Count","","172_704770__2000","172_704770",172,2000,"",704770,5,0
"ITIS:203446","Temperate","Marine","All","ML","Count","","172_693083__2003","172_693083",172,2003,"",693083,5,0
"ITIS:203446","Temperate","Marine","All","ML","Count","","172_695273__2004","172_695273",172,2004,"",695273,5,0
"ITIS:203446","Temperate","Marine","All","ML","Count","","172_695273__2004","172_695273",172,2004,"",695273,18,0
"ITIS:203446","Temperate","Marine","All","ML","Count","","172_692356__2001","172_692356",172,2001,"",692356,38,0
"ITIS:203446","Temperate","Marine","All","ML","Count","","172_691626__2004","172_691626",172,2004,"",691626,38,0
"ITIS:203446","Temperate","Marine","All","ML","Count","","172_694547__2005","172_694547",172,2005,"",694547,5,0
"ITIS:203446","Temperate","Marine","All","ML","Count","","172_694547__2005","172_694547",172,2005,"",694547,18,0
"ITIS:203446","Temperate","Marine","All","ML","Count","","172_695267__2007","172_695267",172,2007,"",695267,5,0
"ITIS:203446","Temperate","Marine","All","ML","Count","","172_695267__2007","172_695267",172,2007,"",695267,5,0
"ITIS:203446","Temperate","Marine","All","ML","Count","","172_695276__2007","172_695276",172,2007,"",695276,38,0
"ITIS:203446","Temperate","Marine","All","ML","Count","","172_712797__2008","172_712797",172,2008,"",712797,18,0
"ITIS:203446","Temperate","Marine","All","ML","Count","","172_713528__2008","172_713528",172,2008,"",713528,18,0
"ITIS:203446","Temperate","Marine","All","ML","Count","","172_712799__2008","172_712799",172,2008,"",712799,38,0
"ITIS:203446","Temperate","Marine","All","ML","Count","","172_694544__2008","172_694544",172,2008,"",694544,38,0
"ITIS:203446","Temperate","Marine","All","ML","Count","","172_694543__2008","172_694543",172,2008,"",694543,38,0
"ITIS:203446","Temperate","Marine","All","ML","Count","","172_707691__2009","172_707691",172,2009,"",707691,18,0
"ITIS:203446","Temperate","Marine","All","ML","Count","","172_706962__2009","172_706962",172,2009,"",706962,18,0
"ITIS:203446","Temperate","Marine","All","ML","Count","","172_707694__2009","172_707694",172,2009,"",707694,175,0
"ITIS:203446","Temperate","Marine","All","ML","Count","","172_691622__2002","172_691622",172,2002,"",691622,18,0
"ITIS:203446","Temperate","Marine","All","ML","Count","","172_691621__2003","172_691621",172,2003,"",691621,18,0
"ITIS:203446","Temperate","Marine","All","ML","Count","","172_695996__2007","172_695996",172,2007,"",695996,18,0
"ITIS:203446","Temperate","Marine","All","ML","Count","","172_712797__2009","172_712797",172,2009,"",712797,5,0
"ITIS:203446","Temperate","Marine","All","ML","Count","","172_681393__2004","172_681393",172,2004,"",681393,38,0
"ITIS:203446","Temperate","Marine","All","ML","Count","","172_679935__2004","172_679935",172,2004,"",679935,38,0
"ITIS:203446","Temperate","Marine","All","ML","Count","","172_695280__2005","172_695280",172,2005,"",695280,18,0
"ITIS:203446","Temperate","Marine","All","ML","Count","","172_694553__2005","172_694553",172,2005,"",694553,18,0
"ITIS:203446","Temperate","Marine","All","ML","Count","","172_705500__2000","172_705500",172,2000,"",705500,5,0
"ITIS:203446","Temperate","Marine","All","ML","Count","","172_692358__2000","172_692358",172,2000,"",692358,18,0
"ITIS:203446","Temperate","Marine","All","ML","Count","","172_696721__2000","172_696721",172,2000,"",696721,5,0
"ITIS:203446","Temperate","Marine","All","ML","Count","","172_696721__2000","172_696721",172,2000,"",696721,175,0
"ITIS:203446","Temperate","Marine","All","ML","Count","","172_691623__2001","172_691623",172,2001,"",691623,18,0
"ITIS:203446","Temperate","Marine","All","ML","Count","","172_692356__2001","172_692356",172,2001,"",692356,5,0
"ITIS:203446","Temperate","Marine","All","ML","Count","","172_695274__2002","172_695274",172,2002,"",695274,75,0
"ITIS:203446","Temperate","Marine","All","ML","Count","","172_694545__2002","172_694545",172,2002,"",694545,5,0
"ITIS:203446","Temperate","Marine","All","ML","Count","","172_692356__2002","172_692356",172,2002,"",692356,5,0
"ITIS:203446","Temperate","Marine","All","ML","Count","","172_691630__2002","172_691630",172,2002,"",691630,75,0
"ITIS:203446","Temperate","Marine","All","ML","Count","","172_691630__2002","172_691630",172,2002,"",691630,38,0
"ITIS:203446","Temperate","Marine","All","ML","Count","","172_690901__2002","172_690901",172,2002,"",690901,18,0
"ITIS:203446","Temperate","Marine","All","ML","Count","","172_690901__2002","172_690901",172,2002,"",690901,5,0
"ITIS:203446","Temperate","Marine","All","ML","Count","","172_693083__2003","172_693083",172,2003,"",693083,18,0
"ITIS:203446","Temperate","Marine","All","ML","Count","","172_693817__2003","172_693817",172,2003,"",693817,175,0
"ITIS:203446","Temperate","Marine","All","ML","Count","","172_693086__2003","172_693086",172,2003,"",693086,38,0
"ITIS:203446","Temperate","Marine","All","ML","Count","","172_695276__2004","172_695276",172,2004,"",695276,175,0
"ITIS:203446","Temperate","Marine","All","ML","Count","","172_694547__2004","172_694547",172,2004,"",694547,5,0
"ITIS:203446","Temperate","Marine","All","ML","Count","","172_694547__2004","172_694547",172,2004,"",694547,5,0
"ITIS:203446","Temperate","Marine","All","ML","Count","","172_696011__2004","172_696011",172,2004,"",696011,75,0
"ITIS:203446","Temperate","Marine","All","ML","Count","","172_695274__2008","172_695274",172,2008,"",695274,18,0
"ITIS:203446","Temperate","Marine","All","ML","Count","","172_693817__2005","172_693817",172,2005,"",693817,38,0
"ITIS:203446","Temperate","Marine","All","ML","Count","","172_695276__2005","172_695276",172,2005,"",695276,5,0
"ITIS:203446","Temperate","Marine","All","ML","Count","","172_695276__2005","172_695276",172,2005,"",695276,5,0
"ITIS:203446","Temperate","Marine","All","ML","Count","","172_695276__2005","172_695276",172,2005,"",695276,5,0
"ITIS:203446","Temperate","Marine","All","ML","Count","","172_694547__2005","172_694547",172,2005,"",694547,5,0
"ITIS:203446","Temperate","Marine","All","ML","Count","","172_695276__2007","172_695276",172,2007,"",695276,5,0
"ITIS:203446","Temperate","Marine","All","ML","Count","","172_694544__2001","172_694544",172,2001,"",694544,18,0
"ITIS:203446","Temperate","Marine","All","ML","Count","","172_694544__2001","172_694544",172,2001,"",694544,18,0
"ITIS:203446","Temperate","Marine","All","ML","Count","","172_693817__2001","172_693817",172,2001,"",693817,5,0
"ITIS:203446","Temperate","Marine","All","ML","Count","","172_693813__2001","172_693813",172,2001,"",693813,5,0
"ITIS:203446","Temperate","Marine","All","ML","Count","","172_693813__2001","172_693813",172,2001,"",693813,5,0
"ITIS:203446","Temperate","Marine","All","ML","Count","","172_693815__2001","172_693815",172,2001,"",693815,5,0
"ITIS:203446","Temperate","Marine","All","ML","Count","","172_714986__2009","172_714986",172,2009,"",714986,5,0
"ITIS:203446","Temperate","Marine","All","ML","Count","","172_695271__2001","172_695271",172,2001,"",695271,5,0
"ITIS:203446","Temperate","Marine","All","ML","Count","","172_696003__2001","172_696003",172,2001,"",696003,38,0
"ITIS:203446","Temperate","Marine","All","ML","Count","","172_693082__2001","172_693082",172,2001,"",693082,5,0
"ITIS:203446","Temperate","Marine","All","ML","Count","","172_695276__2003","172_695276",172,2003,"",695276,18,0
"ITIS:203446","Temperate","Marine","All","ML","Count","","172_693819__2004","172_693819",172,2004,"",693819,18,0
"ITIS:203446","Temperate","Marine","All","ML","Count","","172_695267__2007","172_695267",172,2007,"",695267,5,0
"ITIS:203446","Temperate","Marine","All","ML","Count","","172_694553__2005","172_694553",172,2005,"",694553,18,0
"ITIS:203446","Temperate","Marine","All","ML","Count","","172_695281__2006","172_695281",172,2006,"",695281,5,0
"ITIS:203446","Temperate","Marine","All","ML","Count","","172_694553__2005","172_694553",172,2005,"",694553,1000,0
"ITIS:203446","Temperate","Marine","All","ML","Count","","172_694553__2005","172_694553",172,2005,"",694553,18,0
"ITIS:203446","Temperate","Marine","All","ML","Count","","172_693823__2005","172_693823",172,2005,"",693823,38,0
"ITIS:203446","Temperate","Marine","All","ML","Count","","172_695992__2007","172_695992",172,2007,"",695992,5,0
"ITIS:203446","Temperate","Marine","All","ML","Count","","172_694543__2008","172_694543",172,2008,"",694543,38,0
"ITIS:203446","Temperate","Marine","All","ML","Count","","172_694544__2008","172_694544",172,2008,"",694544,18,0
"ITIS:203446","Temperate","Marine","All","ML","Count","","172_694544__2008","172_694544",172,2008,"",694544,18,0
"ITIS:203446","Temperate","Marine","All","ML","Count","","172_694553__2008","172_694553",172,2008,"",694553,5,0
"ITIS:203446","Temperate","Marine","All","ML","Count","","172_713526__2009","172_713526",172,2009,"",713526,18,0
"ITIS:203446","Temperate","Marine","All","ML","Count","","172_713526__2009","172_713526",172,2009,"",713526,5,0
"ITIS:203446","Temperate","Marine","All","ML","Count","","172_713526__2009","172_713526",172,2009,"",713526,18,0
"ITIS:203446","Temperate","Marine","All","ML","Count","","172_713526__2009","172_713526",172,2009,"",713526,5,0
"ITIS:203446","Temperate","Marine","All","ML","Count","","172_712795__2009","172_712795",172,2009,"",712795,18,0
"ITIS:203446","Temperate","Marine","All","ML","Count","","172_713526__2009","172_713526",172,2009,"",713526,175,0
"ITIS:203446","Temperate","Marine","All","ML","Count","","172_712797__2009","172_712797",172,2009,"",712797,75,0
"ITIS:203446","Temperate","Marine","All","ML","Count","","172_712797__2009","172_712797",172,2009,"",712797,18,0
"ITIS:203446","Temperate","Marine","All","ML","Count","","172_712068__2009","172_712068",172,2009,"",712068,5,0
"ITIS:203446","Temperate","Marine","All","ML","Count","","172_707692__2009","172_707692",172,2009,"",707692,5,0
"ITIS:203446","Temperate","Marine","All","ML","Count","","172_694545__2000","172_694545",172,2000,"",694545,38,0
"ITIS:203446","Temperate","Marine","All","ML","Count","","172_695276__2000","172_695276",172,2000,"",695276,18,0
"ITIS:203446","Temperate","Marine","All","ML","Count","","172_694545__2000","172_694545",172,2000,"",694545,175,0
"ITIS:203446","Temperate","Marine","All","ML","Count","","172_694545__2000","172_694545",172,2000,"",694545,38,0
"ITIS:203446","Temperate","Marine","All","ML","Count","","172_693087__2004","172_693087",172,2004,"",693087,18,0
"ITIS:203446","Temperate","Marine","All","ML","Count","","172_695276__2005","172_695276",172,2005,"",695276,38,0
"ITIS:203446","Temperate","Marine","All","ML","Count","","172_695276__2005","172_695276",172,2005,"",695276,38,0
"ITIS:203446","Temperate","Marine","All","ML","Count","","172_695276__2005","172_695276",172,2005,"",695276,18,0
"ITIS:203446","Temperate","Marine","All","ML","Count","","172_695276__2005","172_695276",172,2005,"",695276,5,0
"ITIS:203446","Temperate","Marine","All","ML","Count","","172_694547__2005","172_694547",172,2005,"",694547,5,0
"ITIS:203446","Temperate","Marine","All","ML","Count","","172_696012__2005","172_696012",172,2005,"",696012,5,0
"ITIS:203446","Temperate","Marine","All","ML","Count","","172_694549__2005","172_694549",172,2005,"",694549,5,0
"ITIS:203446","Temperate","Marine","All","ML","Count","","172_692351__2007","172_692351",172,2007,"",692351,5,0
"ITIS:203446","Temperate","Marine","All","ML","Count","","172_706961__2009","172_706961",172,2009,"",706961,5,0
"ITIS:203446","Temperate","Marine","All","ML","Count","","172_706961__2009","172_706961",172,2009,"",706961,5,0
"ITIS:203446","Temperate","Marine","All","ML","Count","","172_706961__2009","172_706961",172,2009,"",706961,5,0
"ITIS:203446","Temperate","Marine","All","ML","Count","","172_706230__2009","172_706230",172,2009,"",706230,5,0
"ITIS:203446","Temperate","Marine","All","ML","Count","","172_706230__2009","172_706230",172,2009,"",706230,5,0
"ITIS:203446","Temperate","Marine","All","ML","Count","","172_692355__2006","172_692355",172,2006,"",692355,38,0
"ITIS:203446","Temperate","Marine","All","ML","Count","","172_695274__2000","172_695274",172,2000,"",695274,18,0
"ITIS:203446","Temperate","Marine","All","ML","Count","","172_695274__2000","172_695274",172,2000,"",695274,5,0
"ITIS:203446","Temperate","Marine","All","ML","Count","","172_693815__2000","172_693815",172,2000,"",693815,38,0
"ITIS:203446","Temperate","Marine","All","ML","Count","","172_693814__2000","172_693814",172,2000,"",693814,38,0
"ITIS:203446","Temperate","Marine","All","ML","Count","","172_693814__2000","172_693814",172,2000,"",693814,175,0
"ITIS:203446","Temperate","Marine","All","ML","Count","","172_693817__2000","172_693817",172,2000,"",693817,75,0
"ITIS:203446","Temperate","Marine","All","ML","Count","","172_706962__2000","172_706962",172,2000,"",706962,5,0
"ITIS:203446","Temperate","Marine","All","ML","Count","","172_694547__2000","172_694547",172,2000,"",694547,175,0
"ITIS:203446","Temperate","Marine","All","ML","Count","","172_694547__2000","172_694547",172,2000,"",694547,5,0
"ITIS:203446","Temperate","Marine","All","ML","Count","","172_693817__2000","172_693817",172,2000,"",693817,375,0
"ITIS:203446","Temperate","Marine","All","ML","Count","","172_693818__2000","172_693818",172,2000,"",693818,375,0
"ITIS:203446","Temperate","Marine","All","ML","Count","","172_693818__2000","172_693818",172,2000,"",693818,175,0
"ITIS:203446","Temperate","Marine","All","ML","Count","","172_694543__2001","172_694543",172,2001,"",694543,38,0
"ITIS:203446","Temperate","Marine","All","ML","Count","","172_695992__2003","172_695992",172,2003,"",695992,5,0
"ITIS:203446","Temperate","Marine","All","ML","Count","","172_695276__2003","172_695276",172,2003,"",695276,5,0
"ITIS:203446","Temperate","Marine","All","ML","Count","","172_694547__2003","172_694547",172,2003,"",694547,5,0
"ITIS:203446","Temperate","Marine","All","ML","Count","","172_693818__2003","172_693818",172,2003,"",693818,18,0
"ITIS:203446","Temperate","Marine","All","ML","Count","","172_704041__2008","172_704041",172,2008,"",704041,5,0
"ITIS:203446","Temperate","Marine","All","ML","Count","","172_708423__2009","172_708423",172,2009,"",708423,5,0
"ITIS:203446","Temperate","Marine","All","ML","Count","","172_707692__2009","172_707692",172,2009,"",707692,5,0
"ITIS:203446","Temperate","Marine","All","ML","Count","","172_707694__2009","172_707694",172,2009,"",707694,18,0
"ITIS:203446","Temperate","Marine","All","ML","Count","","172_695274__2000","172_695274",172,2000,"",695274,5,0
"ITIS:203446","Temperate","Marine","All","ML","Count","","172_695275__2000","172_695275",172,2000,"",695275,5,0
"ITIS:203446","Temperate","Marine","All","ML","Count","","172_694546__2000","172_694546",172,2000,"",694546,5,0
"ITIS:203446","Temperate","Marine","All","ML","Count","","172_695280__2000","172_695280",172,2000,"",695280,18,0
"ITIS:203446","Temperate","Marine","All","ML","Count","","172_693817__2000","172_693817",172,2000,"",693817,18,0
"ITIS:203446","Temperate","Marine","All","ML","Count","","172_693818__2000","172_693818",172,2000,"",693818,5,0
